"left.part"	"center.part"	"right.part"
" mi łóżko do snu, pieczołowicie, jak kiedyś mój "	" tata "	" . Noemi przyrządziła pyszny obiad: panierowaną pierś kurczaka z "
" m mamy ochraniającej synka przed ojcem ani wymówek, że "	" tata "	" jest zbyt surowy, a synek za mały, słaby "
" m do twojej żony, że ten dzidziuś to wykapany "	" tata "	" ! - usłyszałam za sobą. - Czyj tata "
" tata! - usłyszałam za sobą. - Czyj "	" tata "	" ? - nie zrozumiał mąż, stawiając siatkę z ciastem "
" W sierpniu w piaskownicy spotkałam mężczyznę. Był to "	" tata "	" Rafałka. Siedział na urlopie wychowawczym i spacerował z synkiem "
" on, więc nie chcieli tracić takich pieniędzy. Nianiek "	" tata "	" Rafałka nie uznawał. Wiedział mnóstwo o porodach, no "
" mnie zawsze są miłe... - zdziwił się "	" tata "	" Rafałka. Dwie mamy spojrzały na niego z politowaniem. "
" mamy wyjechały z dziećmi do dziadków na wieś, a "	" tata "	" Rafałka zabrał rodzinę do stadniny koni prowadzonej przez przyjaciół. "
" z piaskownicy i taty Rafałka. - Kto to jest "	" tata "	" Rafałka? - zainteresowała się Monika. - No. "
" - zainteresowała się Monika. - No... "	" tata "	" Rafałka. - Aha - odparła Monika i zmieszała lody "
